ticker,entry_date,exit_date,entry_price,exit_price,trade_return,confidence,stopped_out
MSFT,2023-11-02,2023-11-07,340.6682,334.2226,-0.018921,0.7309,False
AAPL,2023-11-08,2023-11-13,180.2377,168.7918,-0.05,0.7545,True
AMZN,2023-11-08,2023-11-13,142.97,133.09,-0.05,0.7889,True
MSFT,2023-11-09,2023-11-14,355.4432,339.5204,-0.044797,0.8801,False
AAPL,2023-11-15,2023-11-20,185.9186,179.7138,-0.033374,0.8707,False
TSLA,2023-11-15,2023-11-20,239.29,222.18,-0.05,0.7775,True
JPM,2023-11-15,2023-11-20,140.6344,136.4189,-0.029975,0.7652,False
META,2023-11-15,2023-11-20,335.2988,316.3376,-0.05,0.8839,True
MSFT,2023-11-17,2023-11-22,367.2831,353.8636,-0.036537,0.8419,False
TSLA,2023-11-22,2023-11-27,242.04,237.41,-0.019129,0.8229,False
JPM,2023-11-22,2023-11-27,145.3235,140.6155,-0.032397,0.6712,False
GOOGL,2023-11-23,2023-11-28,136.8985,133.5165,-0.024705,0.7874,False
TSLA,2023-11-29,2023-12-04,249.21,235.6,-0.05,0.7792,True
GOOGL,2023-12-05,2023-12-10,127.893,135.2918,0.057852,0.8254,False
META,2023-12-06,2023-12-11,319.4233,336.3505,0.052993,0.8737,False
AAPL,2023-12-08,2023-12-13,192.2033,187.997,-0.021885,0.7822,False
JPM,2023-12-13,2023-12-18,152.0587,149.6431,-0.015886,0.6954,False
TSLA,2023-12-15,2023-12-20,251.21,242.64,-0.034115,0.896,False
MSFT,2023-12-15,2023-12-20,360.6376,364.6681,0.011176,0.7089,False
AAPL,2023-12-15,2023-12-20,195.499,192.2726,-0.016504,0.8837,False
AMZN,2023-12-19,2023-12-24,154.4,145.89,-0.05,0.8804,True
META,2023-12-19,2023-12-24,342.8892,322.7473,-0.05,0.6701,True
JPM,2023-12-20,2023-12-25,159.1349,152.0587,-0.044467,0.705,False
TSLA,2023-12-22,2023-12-27,256.76,251.05,-0.022239,0.6706,False
GOOGL,2023-12-22,2023-12-27,139.6161,130.8585,-0.05,0.8744,True
META,2023-12-27,2024-01-01,353.2975,341.9366,-0.032157,0.8073,False
JPM,2024-01-03,2024-01-08,162.8009,158.576,-0.025951,0.6723,False
AAPL,2024-01-04,2024-01-09,180.2772,191.0651,0.059841,0.8127,False
MSFT,2024-01-05,2024-01-10,362.7216,367.7353,0.013822,0.6645,False
AMZN,2024-01-05,2024-01-10,144.69,153.34,0.059783,0.8285,False
META,2024-01-11,2024-01-16,369.2325,341.7878,-0.05,0.8675,True
TSLA,2024-01-11,2024-01-16,230.57,238.45,0.034176,0.7933,False
MSFT,2024-01-12,2024-01-17,378.9618,361.7091,-0.045526,0.8376,False
TSLA,2024-01-18,2024-01-23,216.88,234.96,0.083364,0.9641,False
MSFT,2024-01-19,2024-01-24,389.058,376.2879,-0.032823,0.7789,False
META,2024-01-19,2024-01-24,376.0489,367.5854,-0.022506,0.7791,False
GOOGL,2024-01-20,2024-01-25,145.8942,140.9153,-0.034127,0.8785,False
AAPL,2024-01-24,2024-01-29,193.4107,181.742,-0.05,0.8425,True
META,2024-01-26,2024-01-31,391.2795,373.2013,-0.046203,0.8929,False
TSLA,2024-01-26,2024-01-31,185.5,211.88,0.14221,0.8753,False
GOOGL,2024-01-27,2024-02-01,150.8135,145.1801,-0.037354,0.8838,False
AMZN,2024-01-30,2024-02-04,160.7,154.78,-0.036839,0.7207,False
MSFT,2024-01-30,2024-02-04,405.2785,389.7953,-0.038204,0.7889,False
JPM,2024-01-31,2024-02-05,167.9414,161.0693,-0.040919,0.8957,False
AMZN,2024-02-06,2024-02-11,169.39,161.26,-0.047996,0.8629,False
META,2024-02-06,2024-02-11,460.3871,397.8975,-0.05,0.887,True
MSFT,2024-02-08,2024-02-13,407.0382,390.8471,-0.039778,0.8025,False
JPM,2024-02-16,2024-02-21,171.1916,166.607,-0.02678,0.7004,False
AAPL,2024-02-17,2024-02-22,180.1505,187.1468,0.038836,0.9094,False
JPM,2024-02-23,2024-02-28,175.1947,167.7794,-0.042326,0.8574,False
GOOGL,2024-02-27,2024-03-03,136.8886,139.3681,0.018113,0.7597,False
TSLA,2024-02-27,2024-03-03,204.04,199.95,-0.020045,0.7324,False
AMZN,2024-03-01,2024-03-06,176.75,174.58,-0.012277,0.6869,False
JPM,2024-03-01,2024-03-06,176.9961,174.4894,-0.014162,0.7039,False
META,2024-03-02,2024-03-07,499.613,480.7708,-0.037714,0.7845,False
GOOGL,2024-03-05,2024-03-10,130.7989,136.4423,0.043145,0.742,False
AAPL,2024-03-05,2024-03-10,169.22,179.5261,0.060904,0.6562,False
TSLA,2024-03-07,2024-03-12,174.35,202.04,0.158818,0.7317,False
META,2024-03-09,2024-03-14,493.6633,498.9177,0.010644,0.8328,False
TSLA,2024-03-14,2024-03-19,167.77,176.54,0.052274,0.966,False
MSFT,2024-03-15,2024-03-20,412.9517,402.9552,-0.024208,0.7151,False
JPM,2024-03-19,2024-03-24,183.6776,179.4647,-0.022936,0.8762,False
GOOGL,2024-03-19,2024-03-24,146.9455,136.5415,-0.05,0.7958,True
MSFT,2024-03-22,2024-03-27,423.2044,418.7921,-0.010426,0.7153,False
GOOGL,2024-03-26,2024-03-31,148.9886,146.4694,-0.016909,0.8589,False
JPM,2024-03-28,2024-04-02,190.1398,187.1279,-0.01584,0.8824,False
GOOGL,2024-04-02,2024-04-07,152.2417,149.5341,-0.017785,0.8675,False
AMZN,2024-04-04,2024-04-09,184.0,178.3,-0.030978,0.6895,False
META,2024-04-06,2024-04-11,525.7161,482.3103,-0.05,0.9386,True
AMZN,2024-04-11,2024-04-16,186.74,182.41,-0.023187,0.8328,False
GOOGL,2024-04-12,2024-04-17,156.6652,149.2961,-0.047037,0.8867,False
JPM,2024-04-16,2024-04-21,175.3442,190.2806,0.085183,0.7272,False
TSLA,2024-04-17,2024-04-22,157.64,176.88,0.12205,0.8921,False
MSFT,2024-04-17,2024-04-22,410.9425,419.8361,0.021642,0.7681,False
AAPL,2024-04-20,2024-04-25,164.0272,174.9578,0.066639,0.8606,False
META,2024-04-20,2024-04-25,486.4224,508.4531,0.045291,0.6732,False
AMZN,2024-04-20,2024-04-25,176.94,186.13,0.051939,0.8193,False
TSLA,2024-04-24,2024-04-29,162.84,157.11,-0.035188,0.9125,False
MSFT,2024-04-26,2024-05-01,405.9394,398.1587,-0.019167,0.7757,False
META,2024-04-27,2024-05-02,436.6001,477.8307,0.094435,0.906,False
GOOGL,2024-05-04,2024-05-09,166.0873,170.5405,0.026812,0.6618,False
AAPL,2024-05-04,2024-05-09,180.7054,167.7731,-0.05,0.8539,True
AMZN,2024-05-10,2024-05-15,189.16,184.72,-0.023472,0.8099,False
AAPL,2024-05-14,2024-05-19,186.0709,180.0712,-0.032244,0.7781,False
JPM,2024-05-15,2024-05-20,193.6648,183.8287,-0.05,0.7333,True
MSFT,2024-05-16,2024-05-21,416.1731,404.334,-0.028448,0.8764,False
GOOGL,2024-05-18,2024-05-23,174.7457,167.2675,-0.042795,0.7549,False
MSFT,2024-05-23,2024-05-28,427.1941,417.436,-0.022842,0.6532,False
AMZN,2024-05-31,2024-06-05,178.3,183.13,0.027089,0.8134,False
AAPL,2024-06-04,2024-06-09,193.1462,188.5219,-0.023942,0.8237,False
META,2024-06-06,2024-06-11,489.6605,471.1658,-0.03777,0.6895,False
TSLA,2024-06-12,2024-06-17,171.12,174.77,0.02133,0.8984,False
JPM,2024-06-12,2024-06-17,187.9031,190.9325,0.016122,0.8248,False
AAPL,2024-06-13,2024-06-18,213.0919,194.3667,-0.05,0.8418,True
